code,title,credits,mandatory,url,description,assessment_data,corequisites_list,faculty,freechoice,level,prerequisites_list,schedule_data,semesters
MATH11712,Statistics I,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH11712,"The unit introduces students to basic ideas in exploratory data analysis, parametric statistical modelling, inferential statistics, and statistical computing in R, thereby preparing them for further study in Statistics in the second and third year.","[{'course_code': 'MATH11712', 'assessment_type_id': 11, 'percentage': 0.1}, {'course_code': 'MATH11712', 'assessment_type_id': 4, 'percentage': 0.8}, {'course_code': 'MATH11712', 'assessment_type_id': 12, 'percentage': 0.1}]",,,False,1,,"[{'course_code': 'MATH11712', 'schedule_type_id': 1, 'hours': 1.0}, {'course_code': 'MATH11712', 'schedule_type_id': 3, 'hours': 1.0}, {'course_code': 'MATH11712', 'schedule_type_id': 4, 'hours': 6.333333333333333}]",Semester 2
MATH21120,Groups and Geometry,20,Mandatory,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH21120,"Groups are abstract algebraic structures which are central to almost every area of modern pure mathematics, and also to many application areas. In geometry, they manifest themselves as the natural way to describe and study symmetry.  The course will provide an introduction to the algebraic theory of groups, and to some of their applications in geometric settings. It will also develop skills in abstract reasoning and mathematical writing, which are essential for later study in pure mathematics and also applicable in other areas.","[{'course_code': 'MATH21120', 'assessment_type_id': 4, 'percentage': 1.0}]",,,False,2,"MATH11022,MATH11121","[{'course_code': 'MATH21120', 'schedule_type_id': 1, 'hours': 3.6666666666666665}, {'course_code': 'MATH21120', 'schedule_type_id': 3, 'hours': 1.8333333333333333}, {'course_code': 'MATH21120', 'schedule_type_id': 4, 'hours': 11.166666666666666}]",Full year
COMP21111,Logic and Modelling,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP21111,"This is a unique course developed at the University of Manchester. It explains how implementations of logic can be used to solve a number a number of problems, such as solving hardest Sudoku puzzles in no time, analysing two-player games, or finding serious errors in computer systems","[{'course_code': 'COMP21111', 'assessment_type_id': 4, 'percentage': 0.5}, {'course_code': 'COMP21111', 'assessment_type_id': 1, 'percentage': 0.5}]",,,True,2,"COMP11120,MATH11022,MATH11121","[{'course_code': 'COMP21111', 'schedule_type_id': 1, 'hours': 2.0}, {'course_code': 'COMP21111', 'schedule_type_id': 2, 'hours': 0.75}, {'course_code': 'COMP21111', 'schedule_type_id': 4, 'hours': 5.416666666666667}]",Semester 1
COMP23111,Database Systems,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP23111,"This course provides a comprehensive exploration of databases, emphasizing their pivotal role in modern computing and data management. Students will learn the principles of database design, implementation, and management, with a focus on the relational model, SQL, and normalization. The curriculum also covers database integration with web and front-end systems, transaction management, security, and emerging paradigms like NoSQL. By blending theory with hands-on practice, students will develop essential skills in designing robust databases, writing advanced queries, and leveraging database technologies for real-world applications.","[{'course_code': 'COMP23111', 'assessment_type_id': 4, 'percentage': 0.3}, {'course_code': 'COMP23111', 'assessment_type_id': 5, 'percentage': 0.7}]",,,True,2,,"[{'course_code': 'COMP23111', 'schedule_type_id': 2, 'hours': 2.5}, {'course_code': 'COMP23111', 'schedule_type_id': 4, 'hours': 5.416666666666667}]",Semester 1
COMP23311,Software Engineering 1,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP23311,"This course covers many aspects of software engineering and contains much essential information about working with a large codebase authored by many programmers, most of whom are not around.","[{'course_code': 'COMP23311', 'assessment_type_id': 4, 'percentage': 0.7}, {'course_code': 'COMP23311', 'assessment_type_id': 5, 'percentage': 0.3}]",,,False,2,"COMP16321,COMP16412","[{'course_code': 'COMP23311', 'schedule_type_id': 2, 'hours': 5.333333333333333}, {'course_code': 'COMP23311', 'schedule_type_id': 4, 'hours': 2.9166666666666665}]",Semester 1
COMP23412,Software Engineering 2,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP23412,"This course prepares you to build interactive, real-world web applications using modern development frameworks and team-based agile practices. You will work in a simulated software company, with weekly requirements from ‘customers’ (your lecturers) that range from precise to deliberately ambiguous – just like the real world. Working in teams, you will learn to break down requirements, clarify ambiguity through customer engagement, and deliver high-quality software through continuous integration and testing. Along the way, you will develop fluency in an industry-standard framework, navigating documentation and architectural patterns to solve evolving challenges. What you will gain: Real-world experience in team-based software engineering. Confidence working with a modern web development framework. Skills in requirements analysis, rapid learning, and iterative development. The ability to build and test usable, robust web applications. Hands-on experience working with APIs – both consuming and creating them. You will leave the course ready to hit the ground running in a professional development team.","[{'course_code': 'COMP23412', 'assessment_type_id': 4, 'percentage': 0.5}, {'course_code': 'COMP23412', 'assessment_type_id': 6, 'percentage': 0.5}]",,,False,2,COMP23311,"[{'course_code': 'COMP23412', 'schedule_type_id': 1, 'hours': 0.8333333333333334}, {'course_code': 'COMP23412', 'schedule_type_id': 2, 'hours': 1.8333333333333333}, {'course_code': 'COMP23412', 'schedule_type_id': 5, 'hours': 0.6666666666666666}, {'course_code': 'COMP23412', 'schedule_type_id': 4, 'hours': 4.833333333333333}]",Semester 2
COMP24011,Introduction to AI,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP24011,The Unit aims to make students familiar with the basic concepts and techniques of Artificial Intelligence. It provides the knowledge and understanding that underpins later course units in the subject taught in the Department.,"[{'course_code': 'COMP24011', 'assessment_type_id': 4, 'percentage': 0.8}, {'course_code': 'COMP24011', 'assessment_type_id': 1, 'percentage': 0.2}]",,,True,2,"COMP11120,COMP13212","[{'course_code': 'COMP24011', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'COMP24011', 'schedule_type_id': 2, 'hours': 0.6666666666666666}, {'course_code': 'COMP24011', 'schedule_type_id': 4, 'hours': 5.833333333333333}]",Semester 1
COMP24112,Machine Learning,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP24112,"The world is filling up with data - billions of images online, billions of supermarket transactions, billions of events pouring out of our everyday lives.   Machine Learning is about designing algorithms capable of automatically learning patterns from this supplied data. Examples of this are in online shopping like Amazon.com - which learns what products you like to buy, or in spam detection systems, which learn what spam looks like as you tag it in your spam folder. 	  	In this course unit we will introduce you to the basics of these algorithms, implementing a basic spam filter and a handwriting recognition engine.","[{'course_code': 'COMP24112', 'assessment_type_id': 4, 'percentage': 0.7}, {'course_code': 'COMP24112', 'assessment_type_id': 5, 'percentage': 0.3}]",COMP24011,Department of Computer Science,True,2,"COMP11120,COMP13212,MATH11121","[{'course_code': 'COMP24112', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'COMP24112', 'schedule_type_id': 2, 'hours': 1.0}, {'course_code': 'COMP24112', 'schedule_type_id': 4, 'hours': 5.333333333333333}]",Semester 2
COMP24412,Knowledge Based AI,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP24412,"Intelligent systems need to be able to represent and reason about the world. This course provides an introduction to the key ideas in knowledge representation and different types of automated reasoning. The course is a mixture of theoretical and practical work: at the end of the course students will know the principles that such systems use, and they will have experience of implementing those principles in running systems.","[{'course_code': 'COMP24412', 'assessment_type_id': 4, 'percentage': 0.3}, {'course_code': 'COMP24412', 'assessment_type_id': 5, 'percentage': 0.7}]",COMP24011,,True,2,,"[{'course_code': 'COMP24412', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'COMP24412', 'schedule_type_id': 2, 'hours': 0.8333333333333334}, {'course_code': 'COMP24412', 'schedule_type_id': 4, 'hours': 6.416666666666667}]",Semester 2
COMP26020,Programming Languages & Paradigms,20,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP26020,There is a variety of programming languages designed with different features aiming to address different types of problems. The unit is an advanced course for students who have already mastered one programming language. It is trying to consider the broad spectrum of different programming paradigms and how these can be used and translated.,"[{'course_code': 'COMP26020', 'assessment_type_id': 4, 'percentage': 0.7}, {'course_code': 'COMP26020', 'assessment_type_id': 1, 'percentage': 0.3}]",,,False,2,"COMP16321,COMP16412","[{'course_code': 'COMP26020', 'schedule_type_id': 1, 'hours': 3.6666666666666665}, {'course_code': 'COMP26020', 'schedule_type_id': 2, 'hours': 1.6666666666666667}, {'course_code': 'COMP26020', 'schedule_type_id': 4, 'hours': 11.333333333333334}]",Full year
COMP26120,Algorithms and Data Structures,20,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP26120,"This course unit covers fundamental material in Computer Science concerning algorithms and their correctness and performance. It is a two-semester practical course, with some video and reading resources, considerable practical experience and lab support. The student is expected to seek out material to support work on the course, thus contributing to developing ""algorithmic literacy"". The implementation of algorithms is illustrated in C, Java and Python.","[{'course_code': 'COMP26120', 'assessment_type_id': 4, 'percentage': 0.5}, {'course_code': 'COMP26120', 'assessment_type_id': 5, 'percentage': 0.5}]",,,False,2,"COMP16321,COMP16412","[{'course_code': 'COMP26120', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'COMP26120', 'schedule_type_id': 2, 'hours': 3.6666666666666665}, {'course_code': 'COMP26120', 'schedule_type_id': 4, 'hours': 10.833333333333334}]",Full year
COMP27112,Introduction to Visual Computing,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP27112,"Visual Computing brings together two fundamentally important aspects of modern computing: Computer Graphics - concerned with the synthesis of images from computer models - and Image Processing, which deals with analysis and understanding of images by computers. There are now considerable overlaps between these two, traditionally separate, fields of research and their applications. 	The Visual Computing theme consists of the following course units: 	•   Year 2: Computer Graphics and Image Processing (10 credits) 	•   Year 3: Advanced Computer Graphics (10 credits) 	•   Year 3: Computer Vision (10 credits)","[{'course_code': 'COMP27112', 'assessment_type_id': 4, 'percentage': 0.7}, {'course_code': 'COMP27112', 'assessment_type_id': 5, 'percentage': 0.3}]",,,True,2,,"[{'course_code': 'COMP27112', 'schedule_type_id': 1, 'hours': 2.0}, {'course_code': 'COMP27112', 'schedule_type_id': 2, 'hours': 0.8333333333333334}, {'course_code': 'COMP27112', 'schedule_type_id': 4, 'hours': 5.333333333333333}]",Semester 2
COMP28112,Distributed Systems,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/COMP28112,"The course unit assumes that students already have a solid understanding of the main principles of computing within a single machine, have a basic understanding of the issues related to machine communication and networking, and have a notion of what distributed computing is. The syllabus will contain topics covering the fundamentals of distributed computing, its application in modern systems and issues to be considered when designing distributed systems.","[{'course_code': 'COMP28112', 'assessment_type_id': 4, 'percentage': 0.5}, {'course_code': 'COMP28112', 'assessment_type_id': 5, 'percentage': 0.5}]",,,True,2,"COMP16412,COMP15212","[{'course_code': 'COMP28112', 'schedule_type_id': 1, 'hours': 2.0}, {'course_code': 'COMP28112', 'schedule_type_id': 2, 'hours': 0.8333333333333334}, {'course_code': 'COMP28112', 'schedule_type_id': 4, 'hours': 5.333333333333333}]",Semester 2
MATH20521,Principles of Mathematical Modelling,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH20521,The Principles of Mathematical Modelling course is designed to provide students with a core and implementable knowledge of how mathematics can be used at the interdisciplinary interface.,"[{'course_code': 'MATH20521', 'assessment_type_id': 11, 'percentage': 0.4}, {'course_code': 'MATH20521', 'assessment_type_id': 4, 'percentage': 0.6}]",,,False,2,"MATH11411,MATH11422,MATH11412","[{'course_code': 'MATH20521', 'schedule_type_id': 1, 'hours': 1.0}, {'course_code': 'MATH20521', 'schedule_type_id': 3, 'hours': 1.0}, {'course_code': 'MATH20521', 'schedule_type_id': 4, 'hours': 6.333333333333333}]",Semester 1
MATH20912,Introduction to Financial Mathematics,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH20912,"This course is intended to serve as a basic introduction to financial mathematics. It gives a mathematical perspective on the valuation of financial instruments (futures, options, etc.) and their risk-management. The purpose of the course is to introduce students to the stochastic techniques employed in derivative pricing.","[{'course_code': 'MATH20912', 'assessment_type_id': 4, 'percentage': 1.0}]",,,False,2,,"[{'course_code': 'MATH20912', 'schedule_type_id': 1, 'hours': 1.0}, {'course_code': 'MATH20912', 'schedule_type_id': 3, 'hours': 1.0}, {'course_code': 'MATH20912', 'schedule_type_id': 4, 'hours': 6.333333333333333}]",Semester 2
MATH21111,Metric Spaces,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH21111,"A metric space is a set together with a good definition of the distance between each pair of points in the set. Metric spaces occur naturally in many parts of mathematics, including geometry, fractal geometry, topology, functional analysis and number theory. This lecture course will present the basic ideas of the theory, and illustrate them with a wealth of examples and applications.    This course unit is strongly recommended to all students who intend to study pure mathematics and is relevant to all course units involving advanced calculus or topology.","[{'course_code': 'MATH21111', 'assessment_type_id': 11, 'percentage': 0.2}, {'course_code': 'MATH21111', 'assessment_type_id': 4, 'percentage': 0.8}]",,,False,2,,"[{'course_code': 'MATH21111', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'MATH21111', 'schedule_type_id': 2, 'hours': 0.4166666666666667}, {'course_code': 'MATH21111', 'schedule_type_id': 3, 'hours': 0.4166666666666667}, {'course_code': 'MATH21111', 'schedule_type_id': 4, 'hours': 5.666666666666667}]",Semester 1
MATH21112,Rings & Fields,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH21112,"The unit covers - properties of the integers including the division theorem, greatest common divisor and prime factorisation - definition of a ring and subrings with standard examples including number rings, modular rings, matrix rings and polynomial rings - special types of rings and elements, including domains, division rings, fields, zero divisors, units and nilpotent elements - homomorphisms and isomorphisms of rings - ideals of rings - quotient rings and isomorphism theorems - polynomial rings and factorisation - constructing roots of polynomials, Kronecker’s Theorem and extension fields.","[{'course_code': 'MATH21112', 'assessment_type_id': 11, 'percentage': 0.2}, {'course_code': 'MATH21112', 'assessment_type_id': 4, 'percentage': 0.8}]",MATH21120,,True,2,,"[{'course_code': 'MATH21112', 'schedule_type_id': 1, 'hours': 2.0}, {'course_code': 'MATH21112', 'schedule_type_id': 2, 'hours': 0.4166666666666667}, {'course_code': 'MATH21112', 'schedule_type_id': 3, 'hours': 0.5}, {'course_code': 'MATH21112', 'schedule_type_id': 4, 'hours': 5.416666666666667}]",Semester 2
MATH24411,Numerical Analysis 1,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH24411,"Numerical analysis is an important branch of applied mathematics that is concerned with finding numerical (or approximate) solutions to problems for which analytical solutions either do not exist or are not readily or cheaply obtainable. This course provides an introduction to the field, focusing on the three core topics of: interpolation, quadrature and iterative methods. The unit starts with a study of interpolation schemes, methods for approximating functions (of one variable) by polynomials, and then quadrature schemes, numerical methods for approximating integrals (of functions of one variable). The second half of the unit looks at solving systems of linear equations and finding roots of non-linear equations via iterative techniques. In the case of linear systems, examples will be drawn from the numerical solution of differential equations via finite difference schemes. Students will learn about practical and theoretical aspects of all the algorithms introduced in the unit. Insight into the algorithms will be given through demonstrations in MATLAB as well as via computational exercises.","[{'course_code': 'MATH24411', 'assessment_type_id': 11, 'percentage': 0.001}, {'course_code': 'MATH24411', 'assessment_type_id': 4, 'percentage': 1.0}]",MATH24420,,False,2,"MATH11022,MATH11121","[{'course_code': 'MATH24411', 'schedule_type_id': 1, 'hours': 0.9166666666666666}, {'course_code': 'MATH24411', 'schedule_type_id': 3, 'hours': 0.5}, {'course_code': 'MATH24411', 'schedule_type_id': 4, 'hours': 6.916666666666667}]",Semester 1
MATH24412,Fluid Mechanics,10,Optional,https://www.manchester.ac.uk/study/undergraduate/courses/2025/00558/bsc-computer-science-and-mathematics/course-details/MATH24412,"The primary aim of this course unit is to provide students with a first introduction to continuum mechanics in general and theoretical fluid mechanics in particular. The material provides the student with an essential background to many third and fourth level courses on physical applied mathematics. Fluid mechanics is concerned with understanding, and hence predicting, the properties (pressure, density, velocity etc.) of liquids and gases under external forces. This subject provides one of the major modern areas for the successful practical application of mathematics. Water, blood, air are all examples of fluids; of the many diverse fields where an understanding of the motion of fluids is important, one can mention oceanography and meteorology (in particular the dynamics of ocean circulation and weather forecasting), biological fluid dynamics (for example, blood flows through arteries), and aerodynamics. The main physical focus at the end of the course is to calculate the forces on a body moving in a fluid e.g. aeroplane wing; the same study also relates to the behaviour of balls in football, cricket and golf, and of boomerangs and frisbees.","[{'course_code': 'MATH24412', 'assessment_type_id': 11, 'percentage': 0.2}, {'course_code': 'MATH24412', 'assessment_type_id': 4, 'percentage': 0.8}]",MATH24420,,False,2,,"[{'course_code': 'MATH24412', 'schedule_type_id': 1, 'hours': 1.8333333333333333}, {'course_code': 'MATH24412', 'schedule_type_id': 2, 'hours': 0.5}, {'course_code': 'MATH24412', 'schedule_type_id': 3, 'hours': 0.5}, {'course_code': 'MATH24412', 'schedule_type_id': 4, 'hours': 5.5}]",Semester 2
